childid,mhhinco_1992,mhhinco_1993,mhhinco_1994,mhhinco_1996,mhhinco_1998,mhhinco_2000,mhhinco_2002,mhhinco_2004,mhhinco_2006,mhhinco_2008,mhhinco_2010,mhhinco_2012,mhhinco_2014,mhhinco_2016,mhhinco_2018,mhhinco_1982,mhhinco_1983,mhhinco_1984,mhhinco_1985,mhhinco_1986,mhhinco_1987,mhhinco_1988,mhhinco_1989,mhhinco_1990,mhhinco_1991,mhhinco_1981,mhhinco_1979,mhhinco_1980
938202,12720,12936,D,13200,E,E,E,E,E,E,E,E,E,,E,D,11500,17000,20280,22894,6456,9372,9696,13548,3000,4152,I,5580
938203,12720,12936,D,13200,E,E,E,E,E,E,E,E,E,,E,D,11500,17000,20280,22894,6456,9372,9696,13548,3000,4152,I,5580
938204,12720,12936,D,13200,D,20000,E,E,E,E,E,E,E,,E,,,17000,20280,22894,6456,9372,9696,13548,3000,,,
938205,,,,,D,20000,D,7,12000,24000,45400,12000,0,,E,,,,,,,,,,,,,
938301,D,D,D,31000,E,E,E,E,E,E,E,E,E,E,E,D,28000,38000,30000,19420,D,21200,34716,D,41572,20000,D,500
938302,D,D,D,31000,32000,E,E,E,E,E,E,E,E,E,E,D,28000,38000,30000,19420,D,21200,34716,D,41572,20000,,
938401,R,D,D,8340,D,1524,13620,E,E,E,E,E,E,E,E,,,,30000,28000,6192,5484,D,D,R,,,
938801,8736,D,D,D,7000,2000,E,E,E,E,E,E,,E,,,D,D,D,20000,20800,D,D,D,D,,,
938802,8736,D,D,D,7000,2000,17000,E,E,E,E,E,,E,,,,,,20000,20800,D,D,D,D,,,
938803,8736,D,D,D,7000,2000,17000,19000,D,E,E,E,,E,,,,,,,,D,D,D,D,,,
939201,20960,9200,16560,21600,16000,E,E,E,E,E,E,E,E,E,E,6740,10964,6200,26040,22260,37600,9600,12592,13800,2414,3660,,14000
939202,20960,9200,16560,21600,16000,E,E,E,E,E,E,E,E,E,E,6740,10964,6200,26040,22260,37600,9600,12592,13800,2414,,,
939203,20960,9200,16560,21600,16000,26000,24000,28000,E,E,E,E,E,E,E,,,,,22260,37600,9600,12592,13800,2414,,,
939601,28424,36632,31542,,E,E,E,,E,,,,,,E,14000,18556,14828,D,14282,16080,D,28312,42752,D,10000,20000,8690
939602,28424,36632,31542,,E,E,E,,E,,,,,,E,14000,18556,14828,D,14282,16080,D,28312,42752,D,10000,,8690
939603,28424,36632,31542,,D,E,E,,E,,,,,,E,14000,18556,14828,D,14282,16080,D,28312,42752,D,10000,,
939701,D,D,D,40520,E,E,E,E,E,E,E,E,E,E,E,9000,18000,17000,67600,36000,,,D,38400,10000,,7400,
939702,D,D,D,40520,15000,E,E,E,E,E,E,E,E,E,E,9000,18000,17000,67600,36000,,,D,38400,10000,,,
940101,21000,E,E,E,E,E,E,E,E,E,E,E,E,E,E,7852,6954,10495,8748,12416,18000,18000,18000,16000,22000,6104,5806,8492
940102,21000,18000,21000,21000,41200,41000,55000,57000,E,E,E,E,E,E,E,,,,,,18000,18000,18000,16000,22000,,,
940103,21000,18000,21000,21000,41200,41000,55000,57000,70000,42000,E,E,E,E,E,,,,,,,,,16000,22000,,,
940301,,,,,,,,,,,,,,,,2856,4512,D,4716,5760,5832,6276,6300,6000,,3172,I,4354
940302,,,,,,,,,,,,,,,,,,,4716,5760,5832,6276,6300,6000,,,,
940601,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,3210
940801,,,,,,,,,,,,,,,,8376,9986,7956,8364,D,8532,12416,26000,32000,,8672,2224,15460
940802,,,,,,,,,,,,,,,,8376,9986,7956,8364,D,8532,12416,26000,32000,,8672,,
940803,,,,,,,,,,,,,,,,,9986,7956,8364,D,8532,12416,26000,32000,,,,
941301,D,4512,9792,E,E,E,E,E,E,E,E,E,E,E,E,70926,2640,2944,1077,6319,7488,D,D,D,5268,5629,4200,I
941302,D,4512,9792,7588,12000,32482,9344,17160,13000,E,E,E,E,E,E,,,,,,,D,D,D,5268,,,
941601,839078,70200,100000,974100,140200,21500,132050,E,E,E,E,E,E,E,E,,,33050,42550,25050,D,500,22300,84650,159805,,,
941602,839078,70200,100000,974100,140200,21500,132050,E,E,E,E,E,E,E,E,,,,,25050,D,500,22300,84650,159805,,,
942101,77500,83000,84500,89800,97500,106000,120000,127800,E,E,E,E,E,E,E,,,,,,53700,55500,58400,63300,71400,,,
942102,77500,83000,84500,89800,97500,106000,120000,127800,143300,164250,E,E,E,E,E,,,,,,,,58400,63300,71400,,,
942301,,,,,47020,71000,95075,88000,58000,70020,56020,48000,46600,E,E,,,,,,,,,,,,,
942302,,,,,,71000,95075,88000,58000,70020,56020,48000,46600,61600,E,,,,,,,,,,,,,
942303,,,,,,,95075,88000,58000,70020,56020,48000,46600,61600,53000,,,,,,,,,,,,,
942901,,,,,,,,,,,,,,,,,,,,,,16200,17000,16600,,,,
942902,,,,,,,,,,,,,,,,,,,,,,,,16600,,,,
943001,,,,,,,,,,,,,,,,,3497,1056,5728,5000,6000,6000,28000,6200,,,,
943002,,,,,,,,,,,,,,,,,,,,,6000,6000,28000,6200,,,,
943201,,,,,,,,,,,,,,,,4284,7369,8595,14312,5171,13555,13512,7884,6800,,3200,I,3700
943301,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,1708,4872,5348,8944,19609,D,20570,27673,D,11400,I,110,3688
943302,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,1708,4872,5348,8944,19609,D,20570,27673,D,11400,I,,3688
943401,9848,9337,14942,D,17642,15448,10000,19216,E,E,E,E,E,E,E,,,,,12000,,4160,6684,350,5000,,,
943402,9848,9337,14942,D,17642,15448,10000,19216,25720,E,E,E,E,E,E,,,,,,,4160,6684,350,5000,,,
944001,,,,,,16640,,D,,,,,,,,,,,,,,,,,,,,
944002,,,,,,16640,,D,,,,,,,,,,,,,,,,,,,,
944101,1692,103,1838,E,E,E,E,E,E,E,E,E,E,E,E,5768,5000,D,10080,D,7232,,D,D,912,I,6800,I
944102,1692,103,1838,2556,D,E,E,E,E,E,E,E,E,E,E,5768,5000,D,10080,D,7232,,D,D,912,I,,
944103,1692,103,1838,2556,D,2186,D,R,7500,0,E,E,E,E,E,,,,,,,,,D,912,,,
944104,,103,1838,2556,D,2186,D,R,7500,0,D,E,E,E,E,,,,,,,,,,,,,
944601,66075,72075,72050,70000,D,E,E,E,E,E,E,E,E,E,E,D,4400,10800,12000,1308,20000,23000,47025,47500,60045,,,
944602,66075,72075,72050,70000,D,D,D,E,E,E,E,E,E,E,E,,,,12000,1308,20000,23000,47025,47500,60045,,,
945201,,,,,,,,,,,,,,,,,18500,28612,20000,24000,44000,46800,52425,57910,,,,
945501,,,,,,,,,,,,,,,,,,,,44200,53000,58000,D,62000,,,,
945502,,,,,,,,,,,,,,,,,,,,,,58000,D,62000,,,,
945601,,,,,,,,,,,,,,,,,,,,,,,27000,19920,,,,
945901,,,,,,,,,,,,,,,,,,,,,,,34300,58300,,,,
946001,,,,,,,,,,,,,,,,,,,,,31500,28000,39200,42300,,,,
946101,,,,,,,,,,,,,,,,,36063,37800,26800,35000,35000,,40000,40500,,,,
946102,,,,,,,,,,,,,,,,,,,26800,35000,35000,,40000,40500,,,,
946401,,,,,,,,,,,,,,,,,,,,,,R,39300,D,,,,
946601,,,,,,,,,,,,,,,,,,,,36500,27230,26500,31000,39800,,,,
946602,,,,,,,,,,,,,,,,,,,,,27230,26500,31000,39800,,,,
946901,,,,,,,,,,,,,,,,31000,,16003,,,,,,,,27300,,
947301,,,,,,,,,,,,,,,,8700,9228,9288,10164,10104,9412,13000,15752,17000,,7980,6528,6648
947302,,,,,,,,,,,,,,,,8700,9228,9288,10164,10104,9412,13000,15752,17000,,7980,6528,6648
947303,,,,,,,,,,,,,,,,8700,9228,9288,10164,10104,9412,13000,15752,17000,,7980,6528,6648
947304,,,,,,,,,,,,,,,,8700,9228,9288,10164,10104,9412,13000,15752,17000,,7980,6528,6648
947305,,,,,,,,,,,,,,,,8700,9228,9288,10164,10104,9412,13000,15752,17000,,7980,,6648
947601,,,,,,,,,,,,,,,,8736,3216,4584,4740,3504,5467,2964,2244,7320,,4000,,70
947602,,,,,,,,,,,,,,,,,,,4740,3504,5467,2964,2244,7320,,,,
947701,,,,,,,,,,,,,,,,8736,4186,3392,3304,6140,4164,8424,7956,8352,,3924,,
947702,,,,,,,,,,,,,,,,,,3392,3304,6140,4164,8424,7956,8352,,,,
947703,,,,,,,,,,,,,,,,,,,,6140,4164,8424,7956,8352,,,,
947901,,,,,,,,,,,,,,,,,,,,21732,24428,24191,25480,31360,,,,
947902,,,,,,,,,,,,,,,,,,,,,,24191,25480,31360,,,,
